s,a,r,sp
565,2,0.0,565
565,2,0.0,565
565,1,0.0,565
565,2,0.0,565
565,1,0.0,565
565,1,0.0,565
565,2,0.0,565
565,2,0.0,565
565,1,0.0,565
565,2,0.0,565
565,2,0.0,565
565,1,0.0,565
565,1,0.0,565
565,2,0.0,565
565,1,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,565
565,2,0.0,668
668,1,-1.0,751
715,1,0.0,715
715,1,0.0,715
715,1,0.0,715
715,1,0.0,710
710,5,0.0,587
587,4,0.0,496
496,9,0.0,496
496,1,0.0,496
496,9,0.0,13
13,14,0.0,246
246,14,0.0,246
246,1,0.0,651
651,14,0.0,651
651,14,0.0,651
651,8,0.0,651
651,7,0.0,651
651,8,0.0,651
651,7,0.0,651
651,7,0.0,651
651,7,0.0,260
260,7,0.0,651
651,12,0.0,651
651,12,0.0,651
651,12,0.0,260
260,12,0.0,651
651,12,0.0,260
260,12,0.0,260
260,12,0.0,651
651,12,0.0,260
260,12,0.0,342
342,12,0.0,342
342,12,0.0,342
342,12,0.0,342
342,12,0.0,342
342,13,0.0,342
342,13,0.0,342
342,13,0.0,647
647,13,0.0,596
596,13,0.0,647
647,13,0.0,596
596,13,0.0,647
647,13,0.0,342
342,13,0.0,647
647,13,0.0,342
342,13,0.0,647
647,13,0.0,342
342,13,0.0,320
320,13,0.0,320
320,13,0.0,320
320,13,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,12,0.0,320
320,15,0.0,320
320,15,0.0,320
320,12,0.0,320
320,7,0.0,320
320,7,0.0,251
251,1,1.0,752
311,2,0.0,311
311,2,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,285
285,18,0.0,285
285,1,0.0,285
285,1,0.0,712
712,13,0.0,712
712,1,0.0,712
712,1,0.0,712
712,20,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,10,0.0,712
712,15,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,10,0.0,712
712,13,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,7,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,7,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,611
611,1,1.0,752
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,664
664,5,0.0,664
664,5,0.0,664
664,5,0.0,664
664,5,0.0,664
664,5,0.0,664
664,1,0.0,664
664,5,0.0,664
664,5,0.0,664
664,1,0.0,493
493,20,0.0,493
493,25,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,21,0.0,493
493,25,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,24,0.0,493
493,22,0.0,493
493,17,0.0,493
493,19,0.0,493
493,16,0.0,493
493,18,0.0,493
493,17,0.0,493
493,12,0.0,493
493,12,0.0,493
493,13,0.0,493
493,11,0.0,493
493,11,0.0,493
493,14,0.0,493
493,6,0.0,493
493,8,0.0,493
493,7,0.0,493
493,7,0.0,493
493,7,0.0,493
493,7,0.0,493
493,7,0.0,493
493,12,0.0,493
493,12,0.0,493
493,12,0.0,493
493,12,0.0,493
493,12,0.0,493
493,12,0.0,493
493,12,0.0,493
493,12,0.0,658
658,12,0.0,658
658,12,0.0,493
493,12,0.0,493
493,12,0.0,658
658,12,0.0,658
658,12,0.0,658
658,12,0.0,493
493,12,0.0,493
493,7,0.0,658
658,7,0.0,658
658,7,0.0,493
493,7,0.0,493
493,7,0.0,251
251,1,-1.0,751
721,7,0.0,588
588,12,0.0,721
721,12,0.0,588
588,12,0.0,588
588,15,0.0,588
588,15,0.0,588
588,15,0.0,588
588,15,0.0,588
588,15,0.0,588
588,15,0.0,588
588,15,0.0,588
588,15,0.0,588
588,15,0.0,253
253,15,0.0,588
588,15,0.0,253
253,15,0.0,253
253,15,0.0,253
253,15,0.0,588
588,10,0.0,253
253,9,0.0,253
253,3,0.0,668
668,1,0.0,486
486,1,0.0,486
486,1,0.0,486
486,3,0.0,588
588,4,0.0,588
588,4,0.0,588
588,4,0.0,253
253,4,0.0,253
253,4,0.0,704
704,4,0.0,704
704,4,0.0,704
704,4,0.0,704
704,4,0.0,704
704,4,0.0,253
253,4,0.0,253
253,4,0.0,704
704,4,0.0,704
704,4,0.0,253
253,4,0.0,253
253,4,0.0,704
704,4,0.0,704
704,5,0.0,704
704,5,0.0,253
253,5,0.0,253
253,2,0.0,253
253,2,0.0,116
116,2,0.0,116
116,2,0.0,400
400,4,0.0,704
704,5,0.0,704
704,5,0.0,704
704,2,0.0,704
704,2,0.0,400
400,2,0.0,621
621,2,0.0,621
621,2,0.0,116
116,2,0.0,621
621,2,0.0,400
400,2,0.0,116
116,2,0.0,486
486,2,0.0,621
621,2,0.0,486
486,2,0.0,486
486,2,0.0,116
116,2,0.0,400
400,2,0.0,116
116,2,0.0,331
331,2,0.0,400
400,2,0.0,519
519,2,0.0,331
331,2,0.0,400
400,2,0.0,668
668,1,1.0,752
547,3,0.0,547
547,1,0.0,547
547,1,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,670
670,1,0.0,242
242,1,0.0,242
242,14,0.0,597
597,15,0.0,451
451,15,0.0,198
198,15,0.0,451
451,15,0.0,451
451,15,0.0,451
451,20,0.0,451
451,20,0.0,190
190,20,0.0,190
190,15,0.0,190
190,15,0.0,190
190,20,0.0,190
190,20,0.0,190
190,20,0.0,631
631,15,0.0,631
631,15,0.0,631
631,20,0.0,631
631,20,0.0,190
190,20,0.0,190
190,20,0.0,190
190,20,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,190
190,25,0.0,366
366,1,0.0,190
190,25,0.0,164
164,20,0.0,190
190,20,0.0,190
190,20,0.0,190
190,20,0.0,190
190,25,0.0,190
190,23,0.0,190
190,22,0.0,190
190,22,0.0,190
190,19,0.0,190
190,20,0.0,190
190,17,0.0,190
190,17,0.0,190
190,17,0.0,190
190,12,0.0,251
251,1,1.0,752
355,1,0.0,355
355,1,0.0,355
355,1,0.0,436
436,10,0.0,721
721,6,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,4,0.0,721
721,2,0.0,721
721,1,0.0,721
721,1,0.0,721
721,5,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,5,0.0,721
721,2,0.0,721
721,2,0.0,668
668,2,0.0,400
400,2,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,355
355,1,0.0,358
358,1,0.0,355
355,1,1.0,752
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,344
344,1,0.0,244
244,1,0.0,244
244,1,0.0,195
195,1,0.0,195
195,1,0.0,469
469,4,0.0,469
469,5,0.0,469
469,9,0.0,97
97,9,0.0,97
97,10,0.0,360
360,6,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,2,0.0,360
360,1,0.0,360
360,1,0.0,244
244,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,360
360,1,0.0,613
613,1,0.0,143
143,1,0.0,143
143,1,0.0,143
143,2,0.0,143
143,1,0.0,143
143,1,0.0,143
143,2,0.0,143
143,1,0.0,143
143,1,0.0,358
358,1,0.0,613
613,1,0.0,143
143,2,0.0,143
143,1,0.0,613
613,1,1.0,752
413,5,0.0,413
413,5,0.0,667
667,10,0.0,667
667,10,0.0,667
667,10,0.0,667
667,10,0.0,413
413,10,0.0,413
413,10,0.0,413
413,10,0.0,413
413,10,0.0,413
413,5,0.0,413
413,5,0.0,413
413,5,0.0,413
413,5,0.0,413
413,5,0.0,413
413,5,0.0,413
413,5,0.0,413
413,5,0.0,413
413,5,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,5,0.0,413
413,5,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,259
259,4,0.0,595
595,4,0.0,595
595,4,0.0,595
595,4,0.0,595
595,4,0.0,595
595,4,0.0,595
595,4,0.0,595
595,4,0.0,595
595,4,0.0,259
259,4,0.0,677
677,4,0.0,677
677,4,0.0,413
413,4,0.0,413
413,4,0.0,413
413,4,0.0,162
162,1,0.0,217
217,1,0.0,217
217,1,0.0,269
269,1,0.0,269
269,1,0.0,269
269,1,0.0,650
650,1,0.0,650
650,1,0.0,162
162,1,0.0,650
650,1,0.0,650
650,1,0.0,489
489,1,1.0,752
650,1,0.0,650
650,1,0.0,650
650,1,0.0,650
650,1,0.0,650
650,1,0.0,650
650,1,0.0,749
749,1,0.0,489
489,1,0.0,489
489,1,0.0,489
489,1,0.0,489
489,1,0.0,489
489,1,0.0,489
489,1,0.0,489
489,1,0.0,489
489,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,489
489,1,0.0,489
489,1,0.0,338
338,1,0.0,338
338,1,0.0,749
749,1,0.0,201
201,1,0.0,201
201,1,0.0,749
749,1,0.0,201
201,1,0.0,201
201,1,0.0,201
201,1,0.0,201
201,1,0.0,201
201,21,0.0,201
201,25,0.0,492
492,25,0.0,492
492,5,0.0,749
749,1,0.0,749
749,1,0.0,201
201,3,0.0,749
749,3,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,489
489,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,749
749,1,0.0,185
185,1,0.0,185
185,1,0.0,142
142,1,0.0,266
266,1,0.0,185
185,1,0.0,185
185,1,0.0,455
455,1,0.0,455
455,1,0.0,455
455,1,0.0,269
269,1,0.0,455
455,1,0.0,455
455,1,0.0,611
611,1,1.0,752
670,1,0.0,670
670,1,0.0,670
670,1,0.0,411
411,1,0.0,411
411,1,0.0,411
411,1,0.0,411
411,1,0.0,411
411,1,0.0,680
680,1,0.0,680
680,1,0.0,411
411,16,0.0,597
597,16,0.0,597
597,20,0.0,597
597,20,0.0,597
597,20,0.0,198
198,20,0.0,198
198,20,0.0,198
198,20,0.0,198
198,20,0.0,507
507,20,0.0,507
507,20,0.0,507
507,15,0.0,507
507,11,0.0,507
507,15,0.0,507
507,15,0.0,507
507,15,0.0,507
507,15,0.0,507
507,20,0.0,507
507,20,0.0,507
507,19,0.0,507
507,19,0.0,507
507,15,0.0,507
507,15,0.0,507
507,14,0.0,507
507,11,0.0,507
507,5,0.0,507
507,14,0.0,507
507,14,0.0,507
507,14,0.0,507
507,14,0.0,507
507,14,0.0,259
259,14,0.0,243
243,4,0.0,243
243,4,0.0,243
243,4,0.0,582
582,4,0.0,582
582,4,0.0,582
582,4,0.0,582
582,4,0.0,582
582,4,0.0,582
582,4,0.0,582
582,1,0.0,582
582,1,0.0,582
582,1,0.0,582
582,1,0.0,641
641,1,0.0,641
641,1,0.0,726
726,1,0.0,641
641,1,0.0,641
641,1,0.0,726
726,1,0.0,726
726,1,0.0,726
726,1,0.0,333
333,1,0.0,333
333,1,1.0,752
611,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,5,0.0,397
397,5,0.0,397
397,1,0.0,477
477,2,0.0,397
397,4,0.0,397
397,3,0.0,397
397,1,0.0,397
397,1,0.0,397
397,5,0.0,311
311,5,0.0,311
311,5,0.0,311
311,1,0.0,311
311,1,0.0,311
311,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,482
482,1,0.0,482
482,1,0.0,397
397,3,0.0,397
397,3,0.0,311
311,1,0.0,311
311,1,0.0,397
397,1,0.0,571
571,1,0.0,571
571,1,0.0,311
311,5,0.0,397
397,5,0.0,477
477,5,0.0,477
477,3,0.0,477
477,5,0.0,477
477,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,5,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,1,0.0,397
397,6,0.0,397
397,6,0.0,397
397,6,0.0,281
281,6,0.0,571
571,6,0.0,571
571,6,0.0,571
571,6,0.0,571
571,6,0.0,571
571,6,0.0,571
571,6,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,571
571,1,0.0,611
611,1,-1.0,751
352,15,0.0,352
352,15,0.0,352
352,10,0.0,352
352,6,0.0,352
352,5,0.0,352
352,5,0.0,352
352,1,0.0,352
352,1,0.0,352
352,5,0.0,352
352,5,0.0,352
352,5,0.0,352
352,5,0.0,352
352,1,0.0,352
352,5,0.0,352
352,5,0.0,352
352,1,0.0,352
352,1,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,77
77,1,0.0,352
352,5,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,5,0.0,352
352,5,0.0,352
352,4,0.0,352
352,4,0.0,352
352,4,0.0,352
352,1,0.0,352
352,5,0.0,352
352,1,0.0,352
352,5,0.0,333
333,1,-1.0,751
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,19,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,20,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,15,0.0,298
298,14,0.0,415
415,11,0.0,415
415,11,0.0,162
162,15,0.0,162
162,10,0.0,162
162,1,0.0,549
549,1,0.0,712
712,1,0.0,712
712,1,0.0,549
549,5,0.0,436
436,5,0.0,237
237,1,0.0,473
473,1,0.0,244
244,1,0.0,712
712,1,0.0,712
712,2,0.0,712
712,2,0.0,712
712,2,0.0,549
549,2,0.0,549
549,2,0.0,549
549,2,0.0,549
549,2,0.0,549
549,2,0.0,549
549,1,0.0,549
549,2,0.0,214
214,2,0.0,654
654,2,0.0,214
214,2,0.0,599
599,2,0.0,599
599,2,0.0,599
599,2,0.0,549
549,2,0.0,311
311,2,0.0,592
592,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,712
712,1,0.0,598
598,1,-1.0,751
266,1,0.0,266
266,2,0.0,246
246,5,0.0,246
246,5,0.0,722
722,2,0.0,722
722,2,0.0,246
246,2,0.0,444
444,2,0.0,325
325,2,0.0,325
325,2,0.0,325
325,6,0.0,271
271,7,0.0,246
246,8,0.0,246
246,8,0.0,676
676,8,0.0,676
676,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,7,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,2,0.0,685
685,7,0.0,685
685,7,0.0,685
685,2,0.0,685
685,2,0.0,685
685,2,0.0,360
360,1,0.0,547
547,2,0.0,685
685,8,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,685
685,7,0.0,251
251,1,0.0,721
721,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,413
413,8,0.0,413
413,8,0.0,413
413,3,0.0,413
413,3,0.0,413
413,2,0.0,333
333,1,0.0,436
436,8,0.0,416
416,9,0.0,685
685,7,0.0,685
685,8,0.0,685
685,8,0.0,685
685,8,0.0,251
251,1,1.0,752
392,1,0.0,392
392,1,0.0,392
392,1,0.0,392
392,1,0.0,392
392,1,0.0,392
392,1,0.0,392
392,1,0.0,670
670,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,12,0.0,230
230,17,0.0,230
230,17,0.0,230
230,20,0.0,230
230,17,0.0,230
230,7,0.0,230
230,1,0.0,230
230,2,0.0,230
230,1,0.0,77
77,1,0.0,230
230,2,0.0,524
524,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,4,0.0,230
230,1,0.0,230
230,5,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,5,0.0,230
230,1,0.0,230
230,5,0.0,230
230,1,0.0,230
230,4,0.0,230
230,3,0.0,230
230,1,0.0,230
230,4,0.0,230
230,1,0.0,230
230,4,0.0,230
230,1,0.0,230
230,1,0.0,230
230,5,0.0,230
230,1,0.0,230
230,4,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,230
230,1,0.0,611
611,1,-1.0,751
325,12,0.0,325
325,12,0.0,428
428,12,0.0,428
428,11,0.0,428
428,1,0.0,428
428,12,0.0,428
428,11,0.0,428
428,6,0.0,428
428,6,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,428
428,1,0.0,77
77,1,0.0,648
648,1,0.0,648
648,1,0.0,648
648,1,0.0,63
63,1,0.0,199
199,1,-1.0,751
359,1,0.0,359
359,1,0.0,359
359,1,0.0,359
359,1,0.0,359
359,1,0.0,359
359,1,0.0,359
359,1,0.0,359
359,1,0.0,276
276,6,0.0,436
436,10,0.0,150
150,7,0.0,721
721,12,0.0,721
721,12,0.0,721
721,12,0.0,721
721,7,0.0,721
721,7,0.0,721
721,10,0.0,720
720,5,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,2,0.0,721
721,1,0.0,721
721,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,613
613,1,0.0,355
355,1,1.0,752
647,2,0.0,647
647,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,2,0.0,656
656,5,0.0,656
656,4,0.0,656
656,3,0.0,23
23,5,0.0,23
23,4,0.0,23
23,2,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,5,0.0,23
23,3,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,2,0.0,23
23,12,0.0,23
23,17,0.0,23
23,22,0.0,23
23,22,0.0,23
23,22,0.0,23
